0,5600,0.0,59.7,1
5600,16914,47.290727481658266,59.7,1
16914,25726,-32.08908624158745,59.7,1
0,570,0.0,33.4,1
570,884,-78.27476038338658,33.4,1
884,8465,-14.904317958783121,33.4,1
8465,15678,35.41057666755248,33.4,1
0,4434,0.0,110.80000000000001,1
4434,6691,35.68262411347518,110.80000000000001,1
6691,20350,-54.686636454073174,110.80000000000001,1
0,7686,0.0,70.9,1
7686,15067,81.77506775067751,70.9,1
15067,20694,-38.267988583446,70.9,1
0,5229,0.0,110.9,1
5229,8685,-19.536903039073806,110.9,1
8685,62922,-6.541443153345553,110.9,1
62922,81901,-2.4850673085495227,110.9,1
81901,142321,-4.239408776597963,110.9,1
142321,172798,2.419156697095122,110.9,1
0,43592,0.0,136.20000000000002,2
43592,47432,-35.68637666058869,136.20000000000002,2
47432,67177,-1.9735387918784932,136.20000000000002,2
67177,71017,-17.840864695923948,136.20000000000002,2
71017,93969,-2.514775756171051,136.20000000000002,2
93969,97809,-11.89339352374338,136.20000000000002,2
97809,104345,-3.4257643332686967,136.20000000000002,2
104345,120348,2.4889179565438555,136.20000000000002,2
120348,191998,-6.0464748656338925,136.20000000000002,2
0,6783,0.0,144.20000000000002,2
6783,24539,5.716699521261617,144.20000000000002,2
24539,144390,-8.828522920203735,144.20000000000002,2
144390,156011,2.450980392156863,144.20000000000002,2
156011,176806,-0.4883673607813878,144.20000000000002,2
176806,180486,-2.2159365924491774,144.20000000000002,2
180486,183998,-0.20951756303745808,144.20000000000002,2
0,3808,0.0,80.4,2
3808,11439,5.307994757536042,80.4,2
11439,22690,-5.9760956175298805,80.4,2
22690,29056,3.3581023149471276,80.4,2
29056,47882,-3.836392610517618,80.4,2
47882,58167,4.983320291586013,80.4,2
58167,76630,-3.9733328239316887,80.4,2
76630,80954,4.2300297150847745,80.4,2
80954,106565,-2.0010261672652643,80.4,2
106565,121757,2.7627463068246687,80.4,2
121757,153718,-1.8376834271886173,80.4,2
153718,161435,-0.7813409946810577,80.4,2
161435,190398,-1.931467987673166,80.4,2
0,2110,0.0,55.300000000000004,2
2110,11988,25.513819985825656,55.300000000000004,2
11988,14674,-7.5046904315197,55.300000000000004,2
14674,28350,12.737230925996688,55.300000000000004,2
0,3400,0.0,94.2,2
3400,3907,-136.36363636363635,94.2,2
3907,9730,-38.86600173460538,94.2,2
9730,10736,-31.25,94.2,2
10736,12934,-22.47855016634565,94.2,2
12934,20419,80.2489718795154,94.2,2
